id,name,blurb,goal,pledged,outcome,backers_count,country,currency,launched_at,deadline,staff_pick,spotlight,category & sub-category,Percent Funded,Average Donation,Parent Category,Sub-Category
178,Alexander-Williams,Triple-buffered cohesive structure,7200,6927,failed,210,US,USD,1505970000,1506747600,FALSE,FALSE,food/food trucks,96%,3568.5,,
179,Marks Ltd,Realigned human-resource orchestration,44500,159185,successful,3537,CA,CAD,1363496400,1363582800,FALSE,TRUE,theater/plays,358%,81361,,
180,"Olsen, Edwards and Reid",Optional clear-thinking software,56000,172736,successful,2107,AU,AUD,1269234000,1269666000,FALSE,FALSE,technology/wearables,308%,87421.5,,
181,"Daniels, Rose and Tyler",Centralized global approach,8600,5315,failed,136,US,USD,1507093200,1508648400,FALSE,FALSE,technology/web,62%,2725.5,,
182,Adams Group,Reverse-engineered bandwidth-monitored contingency,27100,195750,successful,3318,DK,DKK,1560574800,1561957200,FALSE,FALSE,theater/plays,722%,99534,,
183,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100,3525,failed,86,CA,CAD,1284008400,1285131600,FALSE,FALSE,music/rock,69%,1805.5,,
184,"Howard, Carter and Griffith",Adaptive asynchronous emulation,3600,10550,successful,340,US,USD,1556859600,1556946000,FALSE,FALSE,theater/plays,293%,5445,,
185,Bailey PLC,Innovative actuating conglomeration,1000,718,failed,19,US,USD,1526187600,1527138000,FALSE,FALSE,film & video/television,72%,368.5,,
186,Parker Group,Grass-roots foreground policy,88800,28358,failed,886,US,USD,1400821200,1402117200,FALSE,FALSE,theater/plays,32%,14622,,
187,Fox Group,Horizontal transitional paradigm,60200,138384,successful,1442,CA,CAD,1361599200,1364014800,FALSE,TRUE,film & video/shorts,230%,69913,,
188,"Walker, Jones and Rodriguez",Networked didactic info-mediaries,8200,2625,failed,35,IT,EUR,1417500000,1417586400,FALSE,FALSE,theater/plays,32%,1330,,
189,Anthony-Shaw,Switchable contextually-based access,191300,45004,canceled,441,US,USD,1457071200,1457071200,FALSE,FALSE,theater/plays,24%,22722.5,,
190,Cook LLC,Up-sized dynamic throughput,3700,2538,failed,24,US,USD,1370322000,1370408400,FALSE,TRUE,theater/plays,69%,1281,,
191,Sutton PLC,Mandatory reciprocal superstructure,8400,3188,failed,86,IT,EUR,1552366800,1552626000,FALSE,FALSE,theater/plays,38%,1637,,
192,"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,42600,8517,failed,243,US,USD,1403845200,1404190800,FALSE,FALSE,music/rock,20%,4380,,
193,"Calhoun, Rogers and Long",Progressive discrete hub,6600,3012,failed,65,US,USD,1523163600,1523509200,TRUE,FALSE,music/indie rock,46%,1538.5,,
194,Sandoval Group,Assimilated multi-tasking archive,7100,8716,successful,126,US,USD,1442206800,1443589200,FALSE,FALSE,music/metal,123%,4421,,
195,Smith and Sons,Upgradable high-level solution,15800,57157,successful,524,US,USD,1532840400,1533445200,FALSE,FALSE,music/electric music,362%,28840.5,,
196,King Inc,Organic bandwidth-monitored frame,8200,5178,failed,100,DK,DKK,1472878800,1474520400,FALSE,FALSE,technology/wearables,63%,2639,,
197,Perry and Sons,Business-focused logistical framework,54700,163118,successful,1989,US,USD,1498194000,1499403600,FALSE,FALSE,film & video/drama,298%,82553.5,,
198,Palmer Inc,Universal multi-state capability,63200,6041,failed,168,US,USD,1281070800,1283576400,FALSE,FALSE,music/electric music,10%,3104.5,,
199,"Hull, Baker and Martinez",Digitized reciprocal infrastructure,1800,968,failed,13,US,USD,1436245200,1436590800,FALSE,FALSE,music/rock,54%,490.5,,
200,"Becker, Rice and White",Reduced dedicated capability,100,2,failed,1,CA,CAD,1269493200,1270443600,FALSE,FALSE,theater/plays,2%,1.5,,
201,"Osborne, Perkins and Knox",Cross-platform bi-directional workforce,2100,14305,successful,157,US,USD,1406264400,1407819600,FALSE,FALSE,technology/web,681%,7231,,
202,Mcknight-Freeman,Upgradable scalable methodology,8300,6543,canceled,82,US,USD,1317531600,1317877200,FALSE,FALSE,food/food trucks,79%,3312.5,,
203,"Hayden, Shannon and Stein",Customer-focused client-server service-desk,143900,193413,successful,4498,AU,AUD,1484632800,1484805600,FALSE,FALSE,theater/plays,134%,98955.5,,
204,Daniel-Luna,Mandatory multimedia leverage,75000,2529,failed,40,US,USD,1301806800,1302670800,FALSE,FALSE,music/jazz,3%,1284.5,,
205,Weaver-Marquez,Focused analyzing circuit,1300,5614,successful,80,US,USD,1539752400,1540789200,TRUE,FALSE,theater/plays,432%,2847,,
206,"Austin, Baker and Kelley",Fundamental grid-enabled strategy,9000,3496,canceled,57,US,USD,1267250400,1268028000,FALSE,FALSE,publishing/fiction,39%,1776.5,,
207,Carney-Anderson,Digitized 5thgeneration knowledgebase,1000,4257,successful,43,US,USD,1535432400,1537160400,FALSE,TRUE,music/rock,426%,2150,,
208,Jackson Inc,Mandatory multi-tasking encryption,196900,199110,successful,2053,US,USD,1510207200,1512280800,FALSE,FALSE,film & video/documentary,101%,100581.5,,
209,Warren Ltd,Distributed system-worthy application,194500,41212,live,808,AU,AUD,1462510800,1463115600,FALSE,FALSE,film & video/documentary,21%,21010,,
210,Schultz Inc,Synergistic tertiary time-frame,9400,6338,failed,226,DK,DKK,1488520800,1490850000,FALSE,FALSE,film & video/science fiction,67%,3282,,
211,Thompson LLC,Customer-focused impactful benchmark,104400,99100,failed,1625,US,USD,1377579600,1379653200,FALSE,FALSE,theater/plays,95%,50362.5,,
212,Johnson Inc,Profound next generation infrastructure,8100,12300,successful,168,US,USD,1576389600,1580364000,FALSE,FALSE,theater/plays,152%,6234,,
213,Morgan-Warren,Face-to-face encompassing info-mediaries,87900,171549,successful,4289,US,USD,1289019600,1289714400,FALSE,TRUE,music/indie rock,195%,87919,,
214,Sullivan Group,Open-source fresh-thinking policy,1400,14324,successful,165,US,USD,1282194000,1282712400,FALSE,FALSE,music/rock,1023%,7244.5,,
215,"Vargas, Banks and Palmer",Extended 24/7 implementation,156800,6024,failed,143,US,USD,1550037600,1550210400,FALSE,FALSE,theater/plays,4%,3083.5,,
216,"Johnson, Dixon and Zimmerman",Organic dynamic algorithm,121700,188721,successful,1815,US,USD,1321941600,1322114400,FALSE,FALSE,theater/plays,155%,95268,,
217,"Moore, Dudley and Navarro",Organic multi-tasking focus group,129400,57911,failed,934,US,USD,1556427600,1557205200,FALSE,FALSE,film & video/science fiction,45%,29422.5,,
218,Price-Rodriguez,Adaptive logistical initiative,5700,12309,successful,397,GB,GBP,1320991200,1323928800,FALSE,TRUE,film & video/shorts,216%,6353,,
219,Huang-Henderson,Stand-alone mobile customer loyalty,41700,138497,successful,1539,US,USD,1345093200,1346130000,FALSE,FALSE,film & video/animation,332%,70018,,
220,Owens-Le,Focused composite approach,7900,667,failed,17,US,USD,1309496400,1311051600,TRUE,FALSE,theater/plays,8%,342,,
221,Huff LLC,Face-to-face clear-thinking Local Area Network,121500,119830,failed,2179,US,USD,1340254800,1340427600,TRUE,FALSE,food/food trucks,99%,61004.5,,
222,Johnson LLC,Cross-group cohesive circuit,4800,6623,successful,138,US,USD,1412226000,1412312400,FALSE,FALSE,photography/photography books,138%,3380.5,,
223,"Chavez, Garcia and Cantu",Synergistic explicit capability,87300,81897,failed,931,US,USD,1458104400,1459314000,FALSE,FALSE,theater/plays,94%,41414,,
224,Lester-Moore,Diverse analyzing definition,46300,186885,successful,3594,US,USD,1411534800,1415426400,FALSE,FALSE,film & video/science fiction,404%,95239.5,,
225,Fox-Quinn,Enterprise-wide reciprocal success,67800,176398,successful,5880,US,USD,1399093200,1399093200,TRUE,FALSE,music/rock,260%,91139,,
226,Garcia Inc,Progressive neutral middleware,3000,10999,successful,112,US,USD,1270702800,1273899600,FALSE,FALSE,photography/photography books,367%,5555.5,,
227,Johnson-Lee,Intuitive exuding process improvement,60900,102751,successful,943,US,USD,1431666000,1432184400,FALSE,FALSE,games/mobile games,169%,51847,,
228,Pineda Group,Exclusive real-time protocol,137900,165352,successful,2468,US,USD,1472619600,1474779600,FALSE,FALSE,film & video/animation,120%,83910,,
229,Hoffman-Howard,Extended encompassing application,85600,165798,successful,2551,US,USD,1496293200,1500440400,FALSE,TRUE,games/mobile games,194%,84174.5,,
230,"Miranda, Hall and Mcgrath",Progressive value-added ability,2400,10084,successful,101,US,USD,1575612000,1575612000,FALSE,FALSE,games/video games,420%,5092.5,,
231,"Williams, Carter and Gonzalez",Cross-platform uniform hardware,7200,5523,canceled,67,US,USD,1369112400,1374123600,FALSE,FALSE,theater/plays,77%,2795,,
232,Davis-Rodriguez,Progressive secondary portal,3400,5823,successful,92,US,USD,1469422800,1469509200,FALSE,FALSE,theater/plays,171%,2957.5,,
233,"Reid, Rivera and Perry",Multi-lateral national adapter,3800,6000,successful,62,US,USD,1307854800,1309237200,FALSE,FALSE,film & video/animation,158%,3031,,
234,Mendoza-Parker,Enterprise-wide motivating matrices,7500,8181,successful,149,IT,EUR,1503378000,1503982800,FALSE,TRUE,games/video games,109%,4165,,
235,"Lee, Ali and Guzman",Polarized upward-trending Local Area Network,8600,3589,failed,92,US,USD,1486965600,1487397600,FALSE,FALSE,film & video/animation,42%,1840.5,,
236,Gallegos-Cobb,Object-based directional function,39500,4323,failed,57,AU,AUD,1561438800,1562043600,FALSE,TRUE,music/rock,11%,2190,,
237,Ellison PLC,Re-contextualized tangible open architecture,9300,14822,successful,329,US,USD,1398402000,1398574800,FALSE,FALSE,film & video/animation,159%,7575.5,,
238,"Bolton, Sanchez and Carrillo",Distributed systemic adapter,2400,10138,successful,97,DK,DKK,1513231200,1515391200,FALSE,TRUE,theater/plays,422%,5117.5,,
239,Mason-Sanders,Networked web-enabled instruction set,3200,3127,failed,41,US,USD,1440824400,1441170000,FALSE,FALSE,technology/wearables,98%,1584,,
240,Pitts-Reed,Vision-oriented dynamic service-desk,29400,123124,successful,1784,US,USD,1281070800,1281157200,FALSE,FALSE,theater/plays,419%,62454,,
241,Gonzalez-Martinez,Vision-oriented actuating open system,168500,171729,successful,1684,AU,AUD,1397365200,1398229200,FALSE,TRUE,publishing/nonfiction,102%,86706.5,,
242,"Hill, Martin and Garcia",Sharable scalable core,8400,10729,successful,250,US,USD,1494392400,1495256400,FALSE,TRUE,music/rock,128%,5489.5,,
243,Garcia PLC,Customer-focused attitude-oriented function,2300,10240,successful,238,US,USD,1520143200,1520402400,FALSE,FALSE,theater/plays,445%,5239,,
244,Herring-Bailey,Reverse-engineered system-worthy extranet,700,3988,successful,53,US,USD,1405314000,1409806800,FALSE,FALSE,theater/plays,570%,2020.5,,
245,Russell-Gardner,Re-engineered systematic monitoring,2900,14771,successful,214,US,USD,1396846800,1396933200,FALSE,FALSE,theater/plays,509%,7492.5,,
246,Walters-Carter,Seamless value-added standardization,4500,14649,successful,222,US,USD,1375678800,1376024400,FALSE,FALSE,technology/web,326%,7435.5,,
247,"Johnson, Patterson and Montoya",Triple-buffered fresh-thinking frame,19800,184658,successful,1884,US,USD,1482386400,1483682400,FALSE,TRUE,publishing/fiction,933%,93271,,
248,Roberts and Sons,Streamlined holistic knowledgebase,6200,13103,successful,218,AU,AUD,1420005600,1420437600,FALSE,FALSE,games/mobile games,211%,6660.5,,
249,Avila-Nelson,Up-sized intermediate website,61500,168095,successful,6465,US,USD,1420178400,1420783200,FALSE,FALSE,publishing/translations,273%,87280,,
250,Robbins and Sons,Future-proofed directional synergy,100,3,failed,1,US,USD,1264399200,1267423200,FALSE,FALSE,music/rock,3%,2,,
251,Singleton Ltd,Enhanced user-facing function,7100,3840,failed,101,US,USD,1355032800,1355205600,FALSE,FALSE,theater/plays,54%,1970.5,,
252,Perez PLC,Operative bandwidth-monitored interface,1000,6263,successful,59,US,USD,1382677200,1383109200,FALSE,FALSE,theater/plays,626%,3161,,
253,"Rogers, Jacobs and Jackson",Upgradable multi-state instruction set,121500,108161,failed,1335,CA,CAD,1302238800,1303275600,FALSE,FALSE,film & video/drama,89%,54748,,
254,Barry Group,De-engineered static Local Area Network,4600,8505,successful,88,US,USD,1487656800,1487829600,FALSE,FALSE,publishing/nonfiction,185%,4296.5,,
255,"Rosales, Branch and Harmon",Upgradable grid-enabled superstructure,80500,96735,successful,1697,US,USD,1297836000,1298268000,FALSE,TRUE,music/rock,120%,49216,,
256,Smith-Reid,Optimized actuating toolset,4100,959,failed,15,GB,GBP,1453615200,1456812000,FALSE,FALSE,music/rock,23%,487,,
257,Williams Inc,Decentralized exuding strategy,5700,8322,successful,92,US,USD,1362463200,1363669200,FALSE,FALSE,theater/plays,146%,4207,,
258,"Duncan, Mcdonald and Miller",Assimilated coherent hardware,5000,13424,successful,186,US,USD,1481176800,1482904800,FALSE,TRUE,theater/plays,268%,6805,,
259,Watkins Ltd,Multi-channeled responsive implementation,1800,10755,successful,138,US,USD,1354946400,1356588000,TRUE,FALSE,photography/photography books,598%,5446.5,,
260,Allen-Jones,Centralized modular initiative,6300,9935,successful,261,US,USD,1348808400,1349845200,FALSE,FALSE,music/rock,158%,5098,,
261,Mason-Smith,Reverse-engineered cohesive migration,84300,26303,failed,454,US,USD,1282712400,1283058000,FALSE,TRUE,music/rock,31%,13378.5,,
262,"Lloyd, Kennedy and Davis",Compatible multimedia hub,1700,5328,successful,107,US,USD,1301979600,1304226000,FALSE,TRUE,music/indie rock,313%,2717.5,,
263,Walker Ltd,Organic eco-centric success,2900,10756,successful,199,US,USD,1263016800,1263016800,FALSE,FALSE,photography/photography books,371%,5477.5,,
264,Gordon PLC,Virtual reciprocal policy,45600,165375,successful,5512,US,USD,1360648800,1362031200,FALSE,FALSE,theater/plays,363%,85443.5,,
265,Lee and Sons,Persevering interactive emulation,4900,6031,successful,86,US,USD,1451800800,1455602400,FALSE,FALSE,theater/plays,123%,3058.5,,
266,Cole LLC,Proactive responsive emulation,111900,85902,failed,3182,IT,EUR,1415340000,1418191200,FALSE,TRUE,music/jazz,77%,44542,,
267,Acosta PLC,Extended eco-centric function,61600,143910,successful,2768,AU,AUD,1351054800,1352440800,FALSE,FALSE,theater/plays,234%,73339,,
268,Brown-Mckee,Networked optimal productivity,1500,2708,successful,48,US,USD,1349326800,1353304800,FALSE,FALSE,film & video/documentary,181%,1378,,
269,Miles and Sons,Persistent attitude-oriented approach,3500,8842,successful,87,US,USD,1548914400,1550728800,FALSE,FALSE,film & video/television,253%,4464.5,,
270,"Sawyer, Horton and Williams",Triple-buffered 4thgeneration toolset,173900,47260,canceled,1890,US,USD,1291269600,1291442400,FALSE,FALSE,games/video games,27%,24575,,
271,Foley-Cox,Progressive zero administration leverage,153700,1953,live,61,US,USD,1449468000,1452146400,FALSE,FALSE,photography/photography books,1%,1007,,
272,"Horton, Morrison and Clark",Networked radical neural-net,51100,155349,successful,1894,US,USD,1562734800,1564894800,FALSE,TRUE,theater/plays,304%,78621.5,,
273,Thomas and Sons,Re-engineered heuristic forecast,7800,10704,successful,282,CA,CAD,1505624400,1505883600,FALSE,FALSE,theater/plays,137%,5493,,
274,Morgan-Jenkins,Fully-configurable background algorithm,2400,773,failed,15,US,USD,1509948000,1510380000,FALSE,FALSE,theater/plays,32%,394,,
275,"Ward, Sanchez and Kemp",Stand-alone discrete Graphical User Interface,3900,9419,successful,116,US,USD,1554526800,1555218000,FALSE,FALSE,publishing/translations,242%,4767.5,,
276,Fields Ltd,Front-line foreground project,5500,5324,failed,133,US,USD,1334811600,1335243600,FALSE,TRUE,games/video games,97%,2728.5,,
277,Ramos-Mitchell,Persevering system-worthy info-mediaries,700,7465,successful,83,US,USD,1279515600,1279688400,FALSE,FALSE,theater/plays,1066%,3774,,
278,"Higgins, Davis and Salazar",Distributed multi-tasking strategy,2700,8799,successful,91,US,USD,1353909600,1356069600,FALSE,FALSE,technology/web,326%,4445,,
279,Smith-Jenkins,Vision-oriented methodical application,8000,13656,successful,546,US,USD,1535950800,1536210000,FALSE,FALSE,theater/plays,171%,7101,,
280,Braun PLC,Function-based high-level infrastructure,2500,14536,successful,393,US,USD,1511244000,1511762400,FALSE,FALSE,film & video/animation,581%,7464.5,,
281,Drake PLC,Profound object-oriented paradigm,164500,150552,failed,2062,US,USD,1331445600,1333256400,FALSE,TRUE,theater/plays,92%,76307,,
282,"Ross, Kelly and Brown",Virtual contextually-based circuit,8400,9076,successful,133,US,USD,1480226400,1480744800,FALSE,TRUE,film & video/television,108%,4604.5,,
283,Lucas-Mullins,Business-focused dynamic instruction set,8100,1517,failed,29,DK,DKK,1464584400,1465016400,FALSE,FALSE,music/rock,19%,773,,
284,Tran LLC,Ameliorated fresh-thinking protocol,9800,8153,failed,132,US,USD,1335848400,1336280400,FALSE,FALSE,technology/web,83%,4142.5,,
285,"Dawson, Brady and Gilbert",Front-line optimizing emulation,900,6357,successful,254,US,USD,1473483600,1476766800,FALSE,FALSE,theater/plays,706%,3305.5,,
286,Obrien-Aguirre,Devolved uniform complexity,112100,19557,canceled,184,US,USD,1479880800,1480485600,FALSE,FALSE,theater/plays,17%,9870.5,,
287,Ferguson PLC,Public-key intangible superstructure,6300,13213,successful,176,US,USD,1430197200,1430197200,FALSE,FALSE,music/electric music,210%,6694.5,,
288,Garcia Ltd,Secured global success,5600,5476,failed,137,DK,DKK,1331701200,1331787600,FALSE,TRUE,music/metal,98%,2806.5,,
289,"Smith, Love and Smith",Grass-roots mission-critical capability,800,13474,successful,337,CA,CAD,1438578000,1438837200,FALSE,FALSE,theater/plays,1684%,6905.5,,
290,"Wilson, Hall and Osborne",Advanced global data-warehouse,168600,91722,failed,908,US,USD,1368162000,1370926800,FALSE,TRUE,film & video/documentary,54%,46315,,
291,"Bell, Grimes and Kerr",Self-enabling uniform complexity,1800,8219,successful,107,US,USD,1318654800,1319000400,TRUE,FALSE,technology/web,457%,4163,,
292,Ho-Harris,Versatile cohesive encoding,7300,717,failed,10,US,USD,1331874000,1333429200,FALSE,FALSE,food/food trucks,10%,363.5,,
293,Ross Group,Organized executive solution,6500,1065,canceled,32,IT,EUR,1286254800,1287032400,FALSE,FALSE,theater/plays,16%,548.5,,
294,Turner-Davis,Automated local emulation,600,8038,successful,183,US,USD,1540530000,1541570400,FALSE,FALSE,theater/plays,1340%,4110.5,,
295,"Smith, Jackson and Herrera",Enterprise-wide intermediate middleware,192900,68769,failed,1910,CH,CHF,1381813200,1383976800,FALSE,FALSE,theater/plays,36%,35339.5,,
296,Smith-Hess,Grass-roots real-time Local Area Network,6100,3352,failed,38,AU,AUD,1548655200,1550556000,FALSE,FALSE,theater/plays,55%,1695,,
297,"Brown, Herring and Bass",Organized client-driven capacity,7200,6785,failed,104,AU,AUD,1389679200,1390456800,FALSE,TRUE,theater/plays,94%,3444.5,,
298,"Chase, Garcia and Johnson",Adaptive intangible database,3500,5037,successful,72,US,USD,1456466400,1458018000,FALSE,TRUE,music/rock,144%,2554.5,,
299,Ramsey and Sons,Grass-roots contextually-based algorithm,3800,1954,failed,49,US,USD,1456984800,1461819600,FALSE,FALSE,food/food trucks,51%,1001.5,,
300,Cooke PLC,Focused executive core,100,5,failed,1,DK,DKK,1504069200,1504155600,FALSE,TRUE,publishing/nonfiction,5%,3,,
301,Wong-Walker,Multi-channeled disintermediate policy,900,12102,successful,295,US,USD,1424930400,1426395600,FALSE,FALSE,film & video/documentary,1345%,6198.5,,
302,"Ferguson, Collins and Mata",Customizable bi-directional hardware,76100,24234,failed,245,US,USD,1535864400,1537074000,FALSE,FALSE,theater/plays,32%,12239.5,,
303,"Guerrero, Flores and Jenkins",Networked optimal architecture,3400,2809,failed,32,US,USD,1452146400,1452578400,FALSE,FALSE,music/indie rock,83%,1420.5,,
304,Peterson PLC,User-friendly discrete benchmark,2100,11469,successful,142,US,USD,1470546000,1474088400,FALSE,FALSE,film & video/documentary,546%,5805.5,,
305,Townsend Ltd,Grass-roots actuating policy,2800,8014,successful,85,US,USD,1458363600,1461906000,FALSE,FALSE,theater/plays,286%,4049.5,,
306,"Rush, Reed and Hall",Enterprise-wide 3rdgeneration knowledge user,6500,514,failed,7,US,USD,1500008400,1500267600,FALSE,TRUE,theater/plays,8%,260.5,,
307,Salazar-Dodson,Face-to-face zero tolerance moderator,32900,43473,successful,659,DK,DKK,1338958800,1340686800,FALSE,TRUE,publishing/fiction,132%,22066,,
308,Davis Ltd,Grass-roots optimizing projection,118200,87560,failed,803,US,USD,1303102800,1303189200,FALSE,FALSE,theater/plays,74%,44181.5,,
309,Harris-Perry,User-centric 6thgeneration attitude,4100,3087,canceled,75,US,USD,1316581200,1318309200,FALSE,TRUE,music/indie rock,75%,1581,,
310,"Velazquez, Hunt and Ortiz",Switchable zero tolerance website,7800,1586,failed,16,US,USD,1270789200,1272171600,FALSE,FALSE,games/video games,20%,801,,
311,Flores PLC,Focused real-time help-desk,6300,12812,successful,121,US,USD,1297836000,1298872800,FALSE,FALSE,theater/plays,203%,6466.5,,
312,Martinez LLC,Robust impactful approach,59100,183345,successful,3742,US,USD,1382677200,1383282000,FALSE,FALSE,theater/plays,310%,93543.5,,
313,Miller-Irwin,Secured maximized policy,2200,8697,successful,223,US,USD,1330322400,1330495200,FALSE,FALSE,music/rock,395%,4460,,
314,Sanchez-Morgan,Realigned upward-trending strategy,1400,4126,successful,133,US,USD,1552366800,1552798800,FALSE,TRUE,film & video/documentary,295%,2129.5,,
315,"Lopez, Adams and Johnson",Open-source interactive knowledge user,9500,3220,failed,31,US,USD,1400907600,1403413200,FALSE,FALSE,theater/plays,34%,1625.5,,
316,Martin-Marshall,Configurable demand-driven matrix,9600,6401,failed,108,IT,EUR,1574143200,1574229600,FALSE,TRUE,food/food trucks,67%,3254.5,,
317,Summers PLC,Cross-group coherent hierarchy,6600,1269,failed,30,US,USD,1494738000,1495861200,FALSE,FALSE,theater/plays,19%,649.5,,
318,"Young, Hart and Ryan",Decentralized demand-driven open system,5700,903,failed,17,US,USD,1392357600,1392530400,FALSE,FALSE,music/rock,16%,460,,
319,Mills Group,Advanced empowering matrix,8400,3251,canceled,64,US,USD,1281589200,1283662800,FALSE,FALSE,technology/web,39%,1657.5,,
320,Sandoval-Powell,Phased holistic implementation,84400,8092,failed,80,US,USD,1305003600,1305781200,FALSE,FALSE,publishing/fiction,10%,4086,,
321,"Mills, Frazier and Perez",Proactive attitude-oriented knowledge user,170400,160422,failed,2468,US,USD,1301634000,1302325200,FALSE,FALSE,film & video/shorts,94%,81445,,
322,Hebert Group,Visionary asymmetric Graphical User Interface,117900,196377,successful,5168,US,USD,1290664800,1291788000,FALSE,FALSE,theater/plays,167%,100772.5,,
323,"Cole, Smith and Wood",Integrated zero-defect help-desk,8900,2148,failed,26,GB,GBP,1395896400,1396069200,FALSE,FALSE,film & video/documentary,24%,1087,,
324,"Harris, Hall and Harris",Inverse analyzing matrices,7100,11648,successful,307,US,USD,1434862800,1435899600,FALSE,TRUE,theater/plays,164%,5977.5,,
325,Saunders Group,Programmable systemic implementation,6500,5897,failed,73,US,USD,1529125200,1531112400,FALSE,TRUE,theater/plays,91%,2985,,
326,"Pham, Avila and Nash",Multi-channeled next generation architecture,7200,3326,failed,128,US,USD,1451109600,1451628000,FALSE,FALSE,film & video/animation,46%,1727,,
327,"Patterson, Salinas and Lucas",Digitized 3rdgeneration encoding,2600,1002,failed,33,US,USD,1566968400,1567314000,FALSE,TRUE,theater/plays,39%,517.5,,
328,Young PLC,Innovative well-modulated functionalities,98700,131826,successful,2441,US,USD,1543557600,1544508000,FALSE,FALSE,music/rock,134%,67133.5,,
329,Willis and Sons,Fundamental incremental database,93800,21477,live,211,US,USD,1481522400,1482472800,FALSE,FALSE,games/video games,23%,10844,,
330,Thompson-Bates,Expanded encompassing open architecture,33700,62330,successful,1385,GB,GBP,1512712800,1512799200,FALSE,FALSE,film & video/documentary,185%,31857.5,,
331,Rose-Silva,Intuitive static portal,3300,14643,successful,190,US,USD,1324274400,1324360800,FALSE,FALSE,food/food trucks,444%,7416.5,,
332,"Pacheco, Johnson and Torres",Optional bandwidth-monitored definition,20700,41396,successful,470,US,USD,1364446800,1364533200,FALSE,FALSE,technology/wearables,200%,20933,,
333,"Carlson, Dixon and Jones",Persistent well-modulated synergy,9600,11900,successful,253,US,USD,1542693600,1545112800,FALSE,FALSE,theater/plays,124%,6076.5,,
334,Mcgee Group,Assimilated discrete algorithm,66200,123538,successful,1113,US,USD,1515564000,1516168800,FALSE,FALSE,music/rock,187%,62325.5,,
335,Jordan-Acosta,Operative uniform hub,173800,198628,successful,2283,US,USD,1573797600,1574920800,FALSE,FALSE,music/rock,114%,100455.5,,
336,Nunez Inc,Customizable intangible capability,70700,68602,failed,1072,US,USD,1292392800,1292479200,FALSE,TRUE,music/rock,97%,34837,,
337,Hayden Ltd,Innovative didactic analyzer,94500,116064,successful,1095,US,USD,1573452000,1573538400,FALSE,FALSE,theater/plays,123%,58579.5,,
338,Gonzalez-Burton,Decentralized intangible encoding,69800,125042,successful,1690,US,USD,1317790800,1320382800,FALSE,FALSE,theater/plays,179%,63366,,
339,"Lewis, Taylor and Rivers",Front-line transitional algorithm,136300,108974,canceled,1297,CA,CAD,1501650000,1502859600,FALSE,FALSE,theater/plays,80%,55135.5,,
340,"Butler, Henry and Espinoza",Switchable didactic matrices,37100,34964,failed,393,US,USD,1323669600,1323756000,FALSE,FALSE,photography/photography books,94%,17678.5,,
341,Guzman Group,Ameliorated disintermediate utilization,114300,96777,failed,1257,US,USD,1440738000,1441342800,FALSE,FALSE,music/indie rock,85%,49017,,
342,Gibson-Hernandez,Visionary foreground middleware,47900,31864,failed,328,US,USD,1374296400,1375333200,FALSE,FALSE,theater/plays,67%,16096,,
343,Spencer-Weber,Optional zero-defect task-force,9000,4853,failed,147,US,USD,1384840800,1389420000,FALSE,FALSE,theater/plays,54%,2500,,
344,"Berger, Johnson and Marshall",Devolved exuding emulation,197600,82959,failed,830,US,USD,1516600800,1520056800,FALSE,FALSE,games/video games,42%,41894.5,,
345,"Taylor, Cisneros and Romero",Open-source neutral task-force,157600,23159,failed,331,GB,GBP,1436418000,1436504400,FALSE,FALSE,film & video/drama,15%,11745,,
346,Little-Marsh,Virtual attitude-oriented migration,8000,2758,failed,25,US,USD,1503550800,1508302800,FALSE,TRUE,music/indie rock,34%,1391.5,,
347,Petersen and Sons,Open-source full-range portal,900,12607,successful,191,US,USD,1423634400,1425708000,FALSE,FALSE,technology/web,1401%,6399,,
348,Hensley Ltd,Versatile cohesive open system,199000,142823,failed,3483,US,USD,1487224800,1488348000,FALSE,FALSE,food/food trucks,72%,73153,,
349,Navarro and Sons,Multi-layered bottom-line frame,180800,95958,failed,923,US,USD,1500008400,1502600400,FALSE,FALSE,theater/plays,53%,48440.5,,
350,Shannon Ltd,Pre-emptive neutral capacity,100,5,failed,1,US,USD,1432098000,1433653200,FALSE,TRUE,music/jazz,5%,3,,
351,Young LLC,Universal maximized methodology,74100,94631,successful,2013,US,USD,1440392400,1441602000,FALSE,FALSE,music/rock,128%,48322,,
352,"Adams, Willis and Sanchez",Expanded hybrid hardware,2800,977,failed,33,CA,CAD,1446876000,1447567200,FALSE,FALSE,theater/plays,35%,505,,
353,Mills-Roy,Profit-focused multi-tasking access,33600,137961,successful,1703,US,USD,1562302800,1562389200,FALSE,FALSE,theater/plays,411%,69832,,
354,Brown Group,Profit-focused transitional capability,6100,7548,successful,80,DK,DKK,1378184400,1378789200,FALSE,FALSE,film & video/documentary,124%,3814,,
355,Burns-Burnett,Front-line scalable definition,3800,2241,live,86,US,USD,1485064800,1488520800,FALSE,FALSE,technology/wearables,59%,1163.5,,
356,"Glass, Nunez and Mcdonald",Open-source systematic protocol,9300,3431,failed,40,IT,EUR,1326520800,1327298400,FALSE,FALSE,theater/plays,37%,1735.5,,
357,"Perez, Davis and Wilson",Implemented tangible algorithm,2300,4253,successful,41,US,USD,1441256400,1443416400,FALSE,FALSE,games/video games,185%,2147,,
